gene,pval
NM_000030.3,0.0898536844309068
NM_000049.4,1.05460957608743
NM_000073.3,2.28014823220368
NM_000075.4,0.62253272846782
NM_000082.4,1.21212345969065
NM_000097.7,-6.60238790684115
NM_000099.4,-2.27719361967253
NM_000100.4,-15.8544266113393
NM_000104.4,-5.24099121229162
NM_000112.4,3.87979893030865
NM_000113.3,-5.28013970852216
NM_000117.3,-2.09823166719134
NM_000127.3,-4.45905455390979
NM_000143.4,-12.8386784936827
NM_000144.5,-1.09614749695858
NM_000146.4,-2.20166540931633
NM_000151.4,-0.877734374551512
NM_000154.2,-5.72017512758494
NM_000156.6,-1.92702773618145
NM_000158.4,0.127000844912575
NM_000165.5,-14.0146586806963
NM_000170.3,-4.27943630700137
NM_000182.5,-5.05672854700717
NM_000194.3,-11.8656330785344
NM_000202.8,1.06428222635149
NM_000209.4,-1.60395678605071
NM_000212.3,-1.00815068034781
NM_000214.3,0.248523065098767
NM_000229.2,0.161900221269078
NM_000270.4,-5.23495807851446
NM_000286.3,-2.00677278286645
NM_000291.4,-1.6196525187853
NM_000294.3,-8.63357012976376
NM_000303.3,-0.835445628512034
NM_000317.3,-7.70114689448285
NM_000327.4,-0.142137045135678
NM_000346.4,-3.27279713868668
NM_000349.3,1.31585528133608
NM_000353.3,-0.458903328729705
NM_000362.5,-2.59159068350411
NM_000363.5,0.0496368781964316
NM_000386.4,-8.68606738154126
NM_000387.6,-2.58716868774763
NM_000391.4,-8.02537321310729
NM_000434.4,-0.99946526559092
NM_000441.2,1.20827712587492
NM_000451.4,3.0544499100326
NM_000454.5,-14.2900660771943
NM_000474.4,-3.70496579679997
NM_000479.5,-1.97733885241528
NM_000485.3,-3.64026990943786
NM_000522.5,-14.1362499051027
NM_000525.4,3.93712035870761
NM_000527.5,2.91002041723247
NM_000538.4,-6.86645731854173
NM_000551.4,-0.197163667145774
NM_000553.6,5.15093641655398
NM_000554.6,19.6398612481805
NM_000587.4,0.0928814550616179
NM_000599.4,-3.57569250341195
NM_000636.4,0.678156790413682
NM_000651.6,2.44628096588553
NM_000661.5,0.23615032476756
NM_000671.4,-10.9510789485901
NM_000683.4,-0.0973644570633974
NM_000690.4,-0.337560148926757
NM_000713.3,-1.23474935918162
NM_000728.4,0.378114075186977
NM_000747.3,-3.53056436726341
NM_000761.5,0.0470697850527466
NM_000767.5,-0.169006390956965
NM_000769.4,-0.935010998156097
NM_000785.4,-0.304119853847993
NM_000820.4,0.341472241202806
NM_000821.7,1.3441746641257
NM_000843.4,6.89102695220453
NM_000852.4,-5.97389966001846
NM_000864.5,0.613863595342149
NM_000876.4,-7.97232458321566
NM_000911.4,2.97205275887331
NM_000918.4,-2.51357779988452
NM_000921.5,2.79749936789195
NM_000923.6,-0.155386138631562
NM_000937.5,-5.60210969906643
NM_000942.5,-1.59290439937321
NM_000943.5,-15.4253848100616
NM_000945.4,-4.80792069387701
NM_000946.3,-1.85303713775325
NM_000961.4,1.48942138932203
NM_000968.4,-3.5419451192776
NM_000969.5,-2.10117795473795
NM_000970.6,-3.32414820105545
NM_000971.4,-0.568788286733445
NM_000972.3,-7.31370813802322
NM_000973.5,-0.520250383992587
NM_000975.5,-1.8233318953733
NM_000976.4,-3.29223258218519
NM_000978.4,-6.10868798280416
NM_000980.4,-1.73835641002622
NM_000982.4,-2.75657378956615
NM_000983.4,-4.43178446039716
NM_000984.6,-12.2003440685213
NM_000986.4,-5.91083164921844
NM_000989.4,-4.67962497782305
NM_000990.5,-6.98806115145546
NM_000991.5,-0.584524022129639
NM_000992.3,-1.20925805073516
NM_000993.5,-5.40942329136246
NM_000994.4,-2.73606898114621
NM_000997.5,-4.59918675842396
NM_000998.5,-6.03475756375343
NM_000999.4,-3.53066418838701
NM_001000.4,-6.51332425784007
NM_001001.5,-7.33526507117023
NM_001001330.3,-2.56506499958849
NM_001001410.3,-5.69049811861086
NM_001001412.4,0.0193878358881707
NM_001001479.4,-1.54863772594605
NM_001001503.2,0.36576727230495
NM_001001563.5,3.81784723503949
NM_001001661.3,1.04766070582713
NM_001001665.4,1.02936372363239
NM_001001674.2,-0.865147433909688
NM_001001790.3,-6.32839395378766
NM_001001795.2,-4.37552246240404
NM_001001852.4,-3.16146427418804
NM_001001872.4,-1.59726547499451
NM_001001921.2,-2.3266800521752
NM_001001935.3,-0.688234912150836
NM_001001937.2,-0.124490290003966
NM_001001975.2,-1.44731200224597
NM_001002762.5,-3.02709380084732
NM_001002814.3,-0.00423182467440716
NM_001002926.2,-8.63920466369104
NM_001003.3,-3.50594890781843
NM_001003652.4,0.69540460998334
NM_001003684.2,-10.9740160167756
NM_001003716.4,-0.484802910745816
NM_001003745.2,-0.880957277565766
NM_001003941.3,1.64556475931682
NM_001004.4,-4.83024247976515
NM_001004125.3,-2.32101972856033
NM_001004127.3,-2.09343332339931
NM_001004135.2,1.50495435031257
NM_001004301.4,-1.34328544873118
NM_001004304.4,-6.80529127950919
NM_001004309.3,0.0534723043595477
NM_001004320.2,1.49073820508612
NM_001004354.3,-2.33382159896057
NM_001004456.2,10.395564742257
NM_001004466.2,2.15554905083797
NM_001004490.2,3.28938109782175
NM_001004689.2,-5.01731407411819
NM_001004711.2,0.80892449347137
NM_001004713.2,-1.70496027621966
NM_001004729.2,-1.14302567787859
NM_001004755.2,-0.092105135380558
NM_001004756.3,-0.248386224848818
NM_001005191.3,-1.12091006376042
NM_001005193.2,0.64235895445221
NM_001005199.2,0.481643469495814
NM_001005465.2,16.0442178380751
NM_001005493.2,18.1911795240485
NM_001005497.2,-0.985030035051684
NM_001005503.2,1.87176704040313
NM_001005514.2,11.0853915088576
NM_001005781.2,-0.649181074786535
NM_001006.5,-3.61247732480982
NM_001006613.2,0.035571722072275
NM_001006618.2,-2.13742129572539
NM_001006622.3,-0.415256178625226
NM_001006623.4,-0.669890149956745
NM_001006640.2,-1.62527908112844
NM_001006943.3,-2.45069660573265
NM_001007.5,-6.47048169294558
NM_001007189.2,-1.98914953888692
NM_001007233.3,0.996971512262555
NM_001007246.3,-0.886921008539723
NM_001007278.3,2.5226820138513
NM_001007538.2,-13.5958574784186
NM_001007561.3,0.878110596034614
NM_001008215.3,-3.88141629599583
NM_001008237.3,-0.585913758583734
NM_001008274.4,6.05699492417065
NM_001008388.5,-4.71796328397248
NM_001008528.3,1.17275570882925
NM_001008727.5,1.39641789239685
NM_001008739.2,-1.11447099062593
NM_001008778.3,-0.559798739183016
NM_001009.4,-2.82903668081086
NM_001009552.2,-2.72101535804332
NM_001009608.3,-2.48846514169661
NM_001009894.3,-6.16329734167073
NM_001010.3,-3.66673913793511
NM_001010844.4,1.378580067853
NM_001010851.3,0.334963281754691
NM_001010854.2,0.723025394482712
NM_001010858.3,-10.0851760016032
NM_001010860.4,1.86018262377229
NM_001010866.4,-5.67121541190892
NM_001010867.4,-0.0146841874541557
NM_001010883.3,-3.71853009716604
NM_001010890.3,-0.152832720311068
NM_001010891.5,3.55778843693426
NM_001010922.3,0.255347113205037
NM_001011.4,-6.60011516053105
NM_001011513.4,4.00384944266974
NM_001011537.3,-1.09393817946479
NM_001011713.3,-5.55324104455604
NM_001012.2,-4.90998388328575
NM_001012271.2,-0.294127163517109
NM_001012454.6,-1.98960503469363
NM_001012511.3,-3.03635052328727
NM_001012659.2,-0.52761270227826
NM_001012755.5,-3.7927286494019
NM_001012756.3,0.931090680739568
NM_001012968.3,-3.69489893154551
NM_001012978.3,0.463280360689685
NM_001013258.2,-0.739149645045641
NM_001013355.2,-0.326367647694197
NM_001013619.4,-2.1275055208049
NM_001013635.4,-1.3351279680847
NM_001013647.2,-0.365901421976911
NM_001013649.4,-4.90206464111401
NM_001013660.4,-1.14120760053125
NM_001013663.2,-8.1738461916428
NM_001013672.5,0.610035220939118
NM_001013703.4,-5.76905921105086
NM_001013706.3,1.29426566540518
NM_001014283.2,8.2055454579115
NM_001014342.3,2.50745397432831
NM_001015.5,-3.80464146187951
NM_001015072.4,-0.283421783065537
NM_001016.4,-3.22689883345697
NM_001017.3,-4.22325102769722
NM_001017420.3,3.26618883319267
NM_001017921.4,2.87060963493049
NM_001017980.4,4.50982345661479
NM_001017981.2,-2.2582605283175
NM_001018024.3,-2.98688215434605
NM_001018111.3,2.58000840069131
